STATISTIC Label,Year,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,702.74
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,594.65
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,718.87
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,668.4
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,852.73
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,788.21
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,694.57
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,523.21
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,472.88
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,555.89
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,520.29
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,533.06
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,574.34
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,514.35
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,558.52
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,533.0
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,576.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,589.07
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,512.27
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,595.34
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,621.1
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,480.77
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,451.48
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,458.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,438.7
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,581.46
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,570.2
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,936.81
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,557.6
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,446.36
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,601.24
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,535.85
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,584.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,703.2
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,429.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,591.14
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,529.48
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,688.27
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,581.16
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,554.74
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,561.76
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,644.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,582.03
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,572.96
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,560.45
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,559.37
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,567.45
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,594.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,598.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,391.32
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,549.86
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,549.11
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,594.91
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,653.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,720.58
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,666.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,576.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,632.02
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,539.17
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,522.49
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,531.71
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,541.44
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,490.83
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,731.81
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,604.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,582.83
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,628.16
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,490.35
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,544.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,549.65
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,548.39
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,552.42
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,616.92
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,614.94
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,666.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,581.21
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,599.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,634.69
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,663.94
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,580.47
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,644.82
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,897.19
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,858.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,710.31
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,647.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,849.59
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,969.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1026.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1044.94
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1036.09
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,840.32
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,686.92
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,751.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,680.73
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,536.13
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,624.67
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,631.65
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,665.86
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,800.61
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,983.9
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,944.71
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,778.17
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,619.47
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,986.2
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,844.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,862.77
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,686.17
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,788.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1006.36
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,642.83
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,658.86
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,922.06
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1114.25
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,621.76
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,644.2
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,833.68
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1204.15
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,558.48
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,646.95
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,541.18
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,570.97
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,567.3
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,582.76
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,492.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1467.32
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,971.67
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1747.11
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,2127.89
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1485.06
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1808.26
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1143.18
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1871.95
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1831.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1055.07
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1349.39
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1644.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1114.38
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1354.74
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1435.54
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1935.93
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1999.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,2117.95
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1761.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1213.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1725.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1510.3
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,998.29
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1225.85
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1063.17
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1272.09
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1421.14
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1796.88
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1750.3
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1879.69
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1615.79
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1219.65
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1430.97
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1079.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1392.12
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1635.0
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1534.89
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1791.81
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1606.67
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,2149.18
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,993.39
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1050.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Dublin,Euro,1012.67
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,743.15
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,924.63
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,639.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,550.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,730.52
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,580.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,683.32
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,526.12
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1075.43
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,826.13
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,695.44
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,920.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,617.58
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,601.9
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,526.05
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,634.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,608.42
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,548.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,638.72
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,950.24
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,656.51
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1039.46
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1009.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1048.98
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1142.59
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,946.62
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,951.31
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,695.01
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,794.59
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,629.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,633.26
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,491.33
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,514.11
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,682.71
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,783.34
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,867.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,581.77
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,535.12
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,771.66
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,715.21
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,801.4
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,772.34
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,602.23
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,619.3
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,533.08
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,621.99
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,563.14
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,691.99
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,809.18
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,783.97
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,982.36
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1079.19
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,679.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,769.42
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,745.11
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,546.5
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,604.17
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,576.64
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,625.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,532.79
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,620.86
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,467.67
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,484.58
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,606.16
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,792.07
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,639.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,751.41
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,609.52
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,573.36
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,699.77
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,618.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,609.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,599.75
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,684.76
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,756.11
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,612.56
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,807.5
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,724.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,609.06
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,663.42
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,606.51
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,664.45
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,610.0
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,697.12
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,646.33
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,672.2
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,960.97
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,984.18
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,766.01
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,950.21
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1139.98
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,1303.07
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,665.95
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,680.29
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,682.05
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,640.4
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,503.39
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,483.92
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,448.07
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,550.52
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,506.6
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,564.78
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,616.12
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,618.6
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,575.61
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,630.14
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,788.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,885.77
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,847.33
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,963.46
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,724.88
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,632.25
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,953.94
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,828.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,942.85
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,788.87
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,802.03
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,786.27
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,628.55
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,606.96
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,671.01
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,742.19
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,756.14
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,891.53
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,649.74
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,905.51
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,817.1
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,527.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,933.47
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,656.82
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,670.84
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,768.91
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,634.27
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,892.56
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,625.46
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,917.8
RTB Average Monthly Rent Report,2010,All bedrooms,All Property Types,Rest of Country,Euro,573.19
